-4.000000	-0.000000
-4.000000	-0.399334
-4.000000	-0.794677
-4.000000	-1.182081
-4.000000	-1.557673
-4.000000	-1.917702
-4.000000	-2.258570
-4.000000	-2.576871
-4.000000	-2.869424
-4.000000	-3.133308
-4.000000	-3.365884
-4.000000	-3.564829
-4.000000	-3.728156
-4.000000	-3.854233
-4.000000	-3.941799
-4.000000	-3.989980
-4.000000	-3.998294
-4.000000	-3.966659
-4.000000	-3.895391
-4.000000	-3.785200
-4.000000	-3.637190
-4.000000	-3.452837
-4.000000	-3.233986
-4.000000	-2.982821
-4.000000	-2.701853
-4.000000	-2.393889
-4.000000	-2.062005
-4.000000	-1.709520
-4.000000	-1.339953
-4.000000	-0.956997
-4.000000	-0.564480
-4.000000	-0.166323
-4.000000	0.233497
-4.000000	0.630983
-4.000000	1.022164
-4.000000	1.403133
-4.000000	1.770082
-4.000000	2.119345
-4.000000	2.447432
-4.000000	2.751065
-4.000000	3.027210
-4.000000	3.273108
-4.000000	3.486303
-4.000000	3.664664
-4.000000	3.806408
-4.000000	3.910120
-4.000000	3.974764
-4.000000	3.999693
-4.000000	3.984658
-4.000000	3.929810
-4.000000	3.835697
-4.000000	3.703259
-4.000000	3.533819
-4.000000	3.329070
-4.000000	3.091058
-4.000000	2.822161
-4.000000	2.525067
-4.000000	2.202742
-4.000000	1.858409
-4.000000	1.495507
-4.000000	1.117662
-4.000000	0.728650
-4.000000	0.332358
-3.980017	-0.000000
-3.980017	-0.399334
-3.980017	-0.794677
-3.980017	-1.182081
-3.980017	-1.557673
-3.980017	-1.917702
-3.980017	-2.258570
-3.980017	-2.576871
-3.980017	-2.869424
-3.980017	-3.133308
-3.980017	-3.365884
-3.980017	-3.564829
-3.980017	-3.728156
-3.980017	-3.854233
-3.980017	-3.941799
-3.980017	-3.989980
-3.980017	-3.998294
-3.980017	-3.966659
-3.980017	-3.895391
-3.980017	-3.785200
-3.980017	-3.637190
-3.980017	-3.452837
-3.980017	-3.233986
-3.980017	-2.982821
-3.980017	-2.701853
-3.980017	-2.393889
-3.980017	-2.062005
-3.980017	-1.709520
